Start time: 1724890271
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-28 cpu-cluster-hpc-4
# OSU MPI Latency Test v5.8
# Size          Latency (us)
4096                 9095.91
8192                13663.43
16384               18528.09
32768               21140.11
65536               23078.87
131072              23633.42
262144              24212.90
524288              24370.86
1048576             24323.67
2097152             24456.77
4194304             24564.46
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-22 cpu-cluster-hpc-2
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.60
1                       1.60
2                       1.59
4                       1.59
8                       1.59
16                      1.60
32                      1.77
64                      1.81
128                     1.84
256                     2.36
512                     2.48
1024                    2.59
2048                    2.78
4096                    3.52
8192                    4.10
16384                   5.32
32768                   6.82
65536                   8.83
131072                 13.70
262144                 17.24
524288                 27.90
1048576                49.40
2097152                91.87
4194304               177.77
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.80
2                       7.78
4                      15.56
8                      31.53
16                     62.63
32                    121.59
64                    240.75
128                   490.86
256                   924.00
512                  1725.26
1024                 3299.56
2048                 5980.99
4096                 9156.00
8192                13697.94
16384               18983.42
32768               21769.97
65536               23340.52
131072              23865.78
262144              24297.96
524288              24501.22
1048576             24587.26
2097152             24645.77
4194304             24669.12
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-13 cpu-cluster-hpc-2
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.61
1                       1.60
2                       1.60
4                       1.61
8                       1.61
16                      1.62
32                      1.78
64                      1.82
128                     1.88
256                     2.38
512                     2.48
1024                    2.61
2048                    2.77
4096                    3.51
8192                    4.11
16384                   5.33
32768                   6.95
65536                   9.06
131072                 14.00
262144                 17.30
524288                 28.03
1048576                49.65
2097152                92.42
4194304               178.31
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.03
2                       7.93
4                      16.30
8                      32.11
16                     65.16
32                    127.33
64                    248.13
128                   485.13
256                   947.32
512                  1781.79
1024                 3348.85
2048                 5949.60
4096                 9103.55
8192                13645.26
16384               18426.30
32768               21173.45
65536               23350.21
131072              23795.89
262144              24310.39
524288              24503.69
1048576             24608.82
2097152             24642.35
4194304             24666.76
Allreduce iteration 1
