Month,Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($)
2024-08,Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS from Google (CPU cost),ECCC-9EE4-AEE4,"2,171.698",hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Africa to Americas,EF89-EF79-A587,0.001,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Singapore to Americas,F208-E30F-07D3,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS from Google (RAM cost),F239-15CB-5B98,"924,435.247",gibibyte hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Santiago,F39C-BBA9-BD47,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS from Google (CPU cost),FA27-F4A0-3EE3,"231,404.453",hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Singapore,FAD1-829C-5E63,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Cloud Build,8B5D-EF7D-EB12,Build time e2-standard-2,A464-9020-6404,33.583,minutes of build time,0.00,0.00,0.00,0.000000,0.00
2024-08,Cloud Storage,95FF-2EF5-5EA1,Download Worldwide Destinations (excluding Asia & Australia),22EB-AAE8-FBCD,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Cloud Storage,95FF-2EF5-5EA1,Regional Standard Class A Operations,4DBF-185F-A415,214,count,0.00,0.00,0.00,0.000000,0.00
2024-08,Cloud Storage,95FF-2EF5-5EA1,Regional Standard Class B Operations,7870-010B-2763,281,count,0.00,0.00,0.00,0.000000,0.00
2024-08,Cloud Storage,95FF-2EF5-5EA1,Standard Storage US Regional,E5F0-6A5D-7BAD,0,gibibyte month,0.00,0.00,0.00,0.000000,0.00
2024-08,HPC VM Image,A734-3015-FBDB,Licensing Fee for Standard Plan,771B-844F-6965,1.678,hour,0.00,0.00,0.00,0.000000,0.00
